ax ay az gx gy gz
400 568 -16932 -588 249 100
488 808 -16748 -593 277 73
456 976 -16968 -572 247 157
628 664 -16884 -579 265 86
624 460 -16980 -606 270 30
664 812 -16860 -573 265 48
680 828 -17032 -551 239 36
608 400 -16976 -572 240 18
496 664 -16972 -612 252 -1
540 836 -16944 -611 286 37
524 552 -16968 -567 245 43
592 428 -16896 -603 237 76
416 628 -16836 -606 232 86
472 748 -16904 -578 241 124
512 476 -16864 -557 268 158
580 472 -16932 -572 266 147
532 848 -17008 -547 275 107
536 800 -16760 -553 223 175
540 632 -16884 -618 283 172
556 792 -16888 -555 275 179
616 884 -16888 -580 265 142
592 832 -16956 -558 234 122
636 744 -16860 -592 248 83
544 820 -16996 -593 249 63
544 828 -16840 -566 255 26
428 720 -17056 -592 276 28
680 680 -16972 -605 248 19
404 616 -16944 -612 229 6
608 680 -16820 -603 266 -7
372 608 -16852 -532 274 18
576 548 -16912 -555 262 67
484 728 -16920 -569 274 60
460 688 -16936 -579 244 145
528 604 -16880 -597 277 142
492 684 -16844 -656 244 136
548 784 -16996 -579 266 157
544 716 -17016 -583 283 151
656 776 -17064 -575 265 143
600 752 -16820 -600 207 98
492 712 -16936 -559 252 96
584 944 -16780 -542 247 65
544 760 -16948 -550 248 64
532 756 -16912 -595 274 62
524 808 -16964 -561 258 -6
496 676 -16840 -567 283 -10
688 636 -17020 -557 243 -2
644 604 -16984 -605 259 -38
692 640 -17044 -568 251 -8
680 608 -16900 -564 245 -13
604 464 -16984 -546 251 6
552 624 -16848 -563 222 80
396 576 -16936 -595 257 115
356 616 -16996 -577 276 145
452 628 -16876 -539 267 205
468 628 -16976 -587 271 229
464 732 -16992 -589 263 192
464 684 -16984 -607 244 187
548 772 -16944 -575 275 187
576 720 -16960 -586 277 142
608 800 -16988 -602 262 89
616 796 -17036 -572 276 57
648 884 -16956 -592 238 -9
600 852 -16964 -618 254 -50
532 744 -16876 -587 259 -14
584 724 -16908 -614 284 -27
572 692 -16972 -626 265 7
564 696 -16888 -587 270 5
552 624 -16948 -583 247 42
424 588 -17024 -621 233 48
464 580 -16828 -587 280 111
536 544 -16964 -569 241 152
520 612 -17044 -569 281 155
568 724 -16968 -564 239 167
484 696 -16880 -556 256 154
464 704 -17056 -598 255 162
560 776 -16924 -595 236 176
528 736 -16944 -589 270 122
564 736 -16984 -593 246 91
580 704 -16964 -575 278 32
560 740 -16956 -567 217 36
528 660 -16876 -560 252 -11
496 684 -16896 -572 272 25
520 672 -17012 -560 254 2
532 676 -16940 -598 268 3
492 640 -17020 -587 259 20
580 636 -16868 -550 272 102
584 620 -16940 -600 264 93
548 588 -17040 -602 234 86
652 748 -16856 -521 246 152
576 712 -17000 -561 228 159
544 804 -16940 -525 242 117
604 844 -16876 -571 243 171
600 788 -17060 -620 234 145
540 864 -16936 -583 256 118
532 848 -17048 -593 240 137
532 864 -16960 -565 264 154
484 824 -16960 -582 229 84
584 832 -16972 -618 264 25
524 672 -16948 -571 241 36
548 656 -16876 -576 255 -31
620 588 -16952 -578 246 -84
592 672 -16904 -584 278 -80
532 592 -16976 -526 233 -57
592 528 -16988 -581 274 -53
464 556 -16940 -596 243 -19
480 512 -17080 -583 274 43
468 476 -16952 -599 257 34
428 580 -16912 -563 243 152
436 616 -16956 -602 252 158
492 608 -16936 -612 242 214
484 644 -16868 -578 235 256
528 680 -16964 -568 221 253
652 764 -16944 -593 230 230
612 788 -17028 -556 233 180
680 812 -16952 -582 278 167
648 820 -16940 -585 256 158
608 860 -17076 -582 284 81
624 888 -16928 -576 236 57
608 844 -16968 -596 252 29
576 792 -16900 -583 268 -28
508 792 -16892 -637 256 -20
536 668 -17016 -560 269 -39
496 620 -17052 -571 251 -3
520 632 -16916 -620 240 -24
424 668 -16924 -579 245 37
456 624 -16952 -598 249 120
476 596 -16948 -586 242 95
480 580 -16988 -549 230 113
580 656 -17040 -574 281 139
508 640 -16988 -583 257 201
636 712 -16884 -576 225 182
588 728 -16944 -560 262 129
596 720 -16912 -592 260 128
572 728 -16888 -615 244 75
628 756 -16984 -587 246 74
644 728 -16992 -592 255 59
536 684 -16892 -593 240 42
488 784 -16964 -617 251 35
460 728 -16996 -593 263 29
592 804 -16936 -583 258 54
